,197RDB0069,197RDB0219,197RDB0263,197RDB0162,197RDB0006,197RDB0192,197RDB0268,197RDB0195,197RDBCJ0047,197RDB0067,197RDB0012,197RDB0221,197RDB0269,197RDB0157,197RDBCJ0052,197RDB0190,197RDB0003,197RDB0291,197RDB0293,197RDB0160,197RDB0212,197RDB0005,197RDB0107,197RDB0004,197RDBCJ0056,197RDB0253,197RDBCJ0057,197RDB0281,197RDB0207,197RDB0010,197RDBCJ0065,197RDBCJ0053,197RDB0289,197RDB0077,197RDB0009,197RDB0011,197RDBCJ0061,197RDB0163,197RDB0208,197RDB0249,197RDBCJ0058,197RDB0247,197RDB0158,197RDB0194,197RDB0318,197RDB0184,197RDB0280,197RDB0170,197RDB0432,197RDB0264,197RDB0211,197RDB0073,197RDB0002,197RDB0333,197RDB0070,197RDB0169,197RDB0419,197RDB0299,197RDB0271,197RDB0183,197RDB0363,197RDB0414,197RDB0081,197RDB0365,197RDB0336,197RDB0254,197RDB0119,197RDB0242
FRYL,7.384163364,8.064718683,7.842178769,8.100466436,8.682320025,7.717723182,8.378005444,8.124518919,8.617749609,7.939607569,6.365478509,7.465943638,8.078715945,8.355105957,7.696530196,8.071687102,7.620589261,8.479131179,8.495483378,7.588213154,8.987632513,7.890957534,8.614498027,7.248128185,8.761943489,7.446031417,7.757987403,8.780321466,7.29115703,8.150342035,7.560729885,7.95990349,8.796966064,6.872367506,8.585153806,7.537024374,8.646732233,8.162438427,7.692119755,7.662771098,8.184963891,6.962460284,8.303080141,7.236674707,7.177249632,8.280921762,7.584452421,7.120278142,8.354081294,7.301855432,7.406083942,9.482345795,7.451148689,7.202661771,8.659600931,8.966680893,7.921051086,7.610496837,8.051246085,7.55032896,8.244197114,6.972532326,6.681838628,7.214109571,8.56929757,8.577608721,8.557020612,9.030663116
FTH1,13.23187644,13.59785386,13.32105409,13.50846395,12.93642419,13.09895028,13.74418938,13.00168066,13.05024405,13.33865922,13.80030738,13.37927775,12.67607382,13.55537416,13.59611992,13.5605735,13.52516733,13.52515799,13.53078081,13.82924176,13.11823996,13.6742254,13.06076978,13.61712881,13.51210557,13.41395006,13.55604177,12.37586814,14.05800785,13.01081336,13.23763624,13.42968768,13.99300265,13.74572234,12.82063173,13.19728053,13.45614565,13.66601954,13.34169161,13.09182393,13.21714212,13.49433707,13.62520225,14.11679451,13.36259641,13.09895028,13.15613728,13.2954321,12.90397481,12.96949593,13.64918329,13.90524031,13.26498512,12.96718509,12.95849472,13.32202637,13.21708814,13.99300265,13.18364882,13.46003058,13.46908263,13.30009627,14.09021592,13.04577167,13.85052412,13.80444766,14.00433898,13.93846378
FZD1,7.798569139,7.654305376,7.161308055,6.976333952,7.061679258,7.490179929,7.852878434,7.307178807,7.627639974,7.385770369,7.032093356,7.378777509,7.04690434,7.729913768,7.447587227,7.194922734,8.1710513,7.521647981,7.773694519,7.376441506,7.758737409,7.650278203,6.262216537,7.659550859,6.97274204,6.950715857,6.572925897,6.648915101,8.257223634,7.28325341,7.97682335,7.587924766,7.034024729,7.486430905,7.181390543,7.168955792,7.414369598,7.456442661,6.763774149,8.030199485,6.800876127,8.337731971,8.251716368,8.810323329,6.972549783,7.326861137,7.613963014,8.105061819,7.877029922,7.260378999,7.865333607,7.253983563,7.891771882,7.251942907,8.240482712,6.838602028,7.225113438,8.244425925,6.411054146,7.787605861,7.453298566,7.561614527,8.941575555,7.343916746,7.722094767,8.068809935,8.178986884,7.804304835
G3BP2,8.544317669,8.345774725,8.86895788,7.774466111,9.007709721,7.717062675,8.091179652,8.341656675,9.010728245,8.505119678,8.296641288,8.331126251,7.38539749,8.873062289,8.041042487,8.936987188,8.765674408,9.292356937,8.233444943,8.583791962,8.250243377,8.798976766,8.087500914,8.734742384,8.348970502,8.318492183,7.985812788,8.016315105,8.172588795,8.791478909,8.916799008,8.71807689,9.251343866,7.737409628,8.691187995,9.093322897,8.224506958,9.006697968,7.897996094,8.659847939,8.756010704,8.050748062,8.929615315,8.965324551,8.496705735,8.83889887,8.435987786,8.674294999,8.013254404,8.736006195,7.956888364,7.253961591,8.288261227,7.206594067,9.183524846,8.621158799,8.688400094,7.586376684,8.093260271,8.327924753,8.160981087,8.349564001,8.378804918,8.491496992,8.528659075,8.620787755,8.788187395,8.96131843
GADD45B,9.497754183,9.14372155,7.555366629,9.165473702,7.848066679,7.636512817,7.02770227,7.665024079,7.973601566,8.578736801,9.640795621,8.701582222,8.664764401,7.463070077,8.868876634,9.067434509,9.523832087,8.299205516,8.963318183,8.197508301,8.141766398,9.339000659,7.935318081,10.39963619,8.197882139,8.788136314,8.177849741,8.81520803,9.206481037,8.148079373,9.16641239,8.129531507,7.549329976,8.138385802,7.987630801,8.642571475,8.913199754,8.518513609,6.828567669,8.299834922,7.683151044,8.87046625,9.646902018,10.00129308,8.715123815,7.617812459,8.851885834,8.938148412,7.816899355,8.170348681,8.651596023,8.192849634,9.501070833,9.629175438,8.507510799,7.979781982,7.501766926,8.688410697,7.129816856,8.985360195,9.667562562,7.999126262,9.076813244,8.567308901,8.512420625,9.208702896,8.247790892,9.382221986
GNAS,12.8625679,12.60310625,12.56745083,12.91164405,12.57516209,13.34769554,13.35467197,12.89925715,12.63517791,12.98355274,12.63126236,12.55618552,13.22320623,12.45337104,13.14000424,12.81065369,12.77480439,12.75337999,13.01579694,12.58637672,13.00735657,13.16417906,13.10628173,12.94256244,12.74737002,13.02417697,12.41033001,12.90296876,13.13777505,12.74737002,12.85919212,12.50440049,12.82839897,12.76354302,12.75144126,12.63517791,13.35989227,13.13000111,12.72937827,12.91776394,12.34421179,13.53373279,13.1685535,12.92792753,12.66327728,12.90357395,12.68509268,12.86418913,12.85646106,12.53191599,12.84840744,13.29508805,12.5252292,13.42055636,13.07357655,12.51849481,12.91131358,12.63209162,12.91351247,12.96422103,13.04748799,12.87971751,12.86389996,12.68701658,12.57683401,12.93285612,12.93219445,13.1381733
GPC6,7.994405462,7.956804456,6.762833259,7.339561662,6.648344358,7.306900181,7.439014075,6.86640859,7.568639015,7.520592076,7.072433189,7.597419339,6.561888154,7.763051352,7.741085365,7.654917024,7.99337336,7.572198333,7.833378051,7.689018717,7.717588401,7.210655803,6.35367125,9.212281781,7.014838353,7.250906151,7.425453795,5.277515903,8.683241041,6.541135797,8.361439911,7.351334451,7.069945218,7.282541207,6.898667328,7.230889411,7.371580192,7.280890378,6.420860714,8.000057234,6.707441012,8.735052851,8.278172622,8.936724958,7.526710091,6.585914583,7.820164414,8.25482047,6.802650971,7.323487806,7.387455616,6.744407869,7.891859797,6.690835708,8.825386409,6.719317939,7.116502248,8.184800362,6.779065086,7.04251357,8.157755519,7.620554121,7.930843656,7.428448421,6.808589966,8.764042786,8.154151844,8.14433543
GREM1,8.52797467,9.857955254,10.08373147,9.849786598,5.553747983,9.504313831,9.902454208,8.491483688,10.55762492,9.017219659,9.897387585,9.37894942,8.492614857,10.75805881,8.810274414,10.62359626,10.45776737,10.17311461,10.18315699,10.22916384,10.16198966,9.038321077,6.05169498,10.88880748,9.263724543,9.320398147,9.858985263,8.621216887,11.13590342,9.902557565,10.93956373,9.864534605,5.79525713,9.987570705,8.837836261,9.885320197,8.37462732,10.07799426,6.727769714,11.26393863,9.083535149,10.89722399,11.56262449,11.50575153,10.39022666,8.972212049,10.01587105,11.14249021,9.127706624,9.765718888,10.3552766,7.385068074,11.59292065,9.358852526,11.2615173,8.417131936,9.282470898,9.848316577,7.361181536,9.976568026,9.755735956,10.22918246,8.408080886,9.660260701,7.256354838,10.54533024,9.544732691,9.7128029
GSK3B,4.008165373,3.889167357,3.83935848,3.819323765,4.202766117,4.042926175,3.936336251,3.444703267,4.072148484,3.899679205,3.487203166,3.689166437,3.858417282,4.173946854,4.024208385,3.725042218,4.10249806,3.801072829,4.418923318,4.343163372,3.530347711,3.648435803,3.769034288,3.837690192,3.952044249,3.906827901,3.522429257,3.667485833,3.725270022,4.071959886,4.449804868,4.061418783,4.278533864,4.043570935,3.930767668,4.359032078,3.96773397,4.294735812,4.333445568,3.901485591,4.187978194,3.480251578,4.161131229,3.849465217,4.195556959,3.901163746,3.739859169,3.847820566,3.786368007,3.398763764,4.379874173,4.146426902,3.801684185,3.771667021,3.976328515,3.826390086,3.599995161,4.208816914,4.000363559,3.618632396,4.10201567,3.909893886,3.566068724,4.15523944,4.031461031,3.566202847,3.604224409,3.973877116
GSTM1,7.350733886,7.254593713,7.208795117,7.319847991,7.581477651,7.144075646,6.973814024,7.32979147,6.769220614,6.846906088,7.70304292,6.859544405,7.701305667,7.418578757,7.742383532,7.153107687,6.991488918,7.051623329,8.033670594,7.324570131,7.432724497,8.040811529,6.988832537,6.888993538,7.044580582,6.950260443,7.79621964,6.795703331,7.073839736,7.682511396,7.09569806,6.802256803,7.349603376,8.043708421,7.83091147,7.910256795,7.026104467,6.728584036,7.22114399,6.826537098,7.654966448,6.664104938,7.08695792,6.985404585,7.048765668,7.224847586,7.665507626,7.247046017,7.216710339,8.128083606,7.470089447,7.276253628,7.113993427,6.911812198,7.982206805,7.465177515,7.022168588,7.044600244,7.444949773,7.408371757,7.068133451,7.481163772,8.250412303,6.666097362,7.812374743,7.799013824,7.806515195,7.17202928
